Latitude,Longitude,Century_of_Origin,Known_Date_of_Origin,Dedication,Active_Devotion,MRO_Devotion,RAS)"
41.888481,12.529746,20,1901,2.129,1,2016,1
41.915963,12.496914,20,1901,2.129,1,2016,1
41.875798,12.521435,20,1901,2.129,1,2016,1
41.891441,12.527158,20,1901,2.129,1,2016,1
41.884902,12.530145,20,1901,2.129,1,2016,1
41.884887,12.530153,20,1901,2.129,1,2016,1
41.882306,12.522073,20,1901,2.129,1,2015,1
41.915558,12.456196,20,1901,2.129,1,2017,1
41.925406,12.464037,20,1901,2.129,1,2016,2
41.884892,12.530275,20,1901,2.129,1,2017,1
41.877793,12.452661,20,1901,2.129,1,2017,1
41.884243,12.460796,20,1901,2.129,1,2015,1
41.876006,12.487666,20,1901,2.129,1,2016,1
41.895674,12.428723,20,1901,2.129,1,2016,1
41.87925,12.49669,20,1944,2.129,1,2008,1
41.910193,12.4500939,20,1944,2.129,0,,1
41.887908,12.513369,20,1944,2.129,1,2016,1
41.89306,12.51205,20,1944,2.129,1,2016,1
41.908705,12.506755,20,1944.6,2.129,1,2014,1
41.909562,12.488842,20,1945,2.129,1,2016,1
41.904742,12.493985,20,1945,2.129,1,2016,1
41.879088,12.485212,20,1945,2.129,1,2016,1
41.896152,12.496377,20,1945,2.129,0,,0
41.90354,12.47841,20,1945,2.129,1,2016,1
41.907243,12.462707,20,1950,2.129,0,,0
41.893068,12.57664,20,1950,2.129,1,2016,1
41.903095,12.475096,20,1951,2.129,0,,0
41.878498,12.460694,20,1954,2.129,1,2016,1
41.883242,12.541797,20,1954,2.129,1,2015,1
41.896564,12.47245,20,1954,2.129,1,2016,0
41.89338,12.47226,20,1954.6,2.129,1,2008,0
41.896443,12.46364,20,1954.6,2.129,1,2016,1
41.86616,12.594741,20,1954.6,2.129,1,2016,1
41.897371,12.479398,20,1954.6,2.129,1,2015,1
41.887938,12.504235,20,1954.6,2.129,1,2016,1
41.89545,12.50931,20,1954.6,2.129,0,,0
41.882915,12.483697,20,1954.6,2.129,1,2014,2
41.886133,12.517214,20,1954.6,2.129,1,2018,1
41.891069,12.521106,20,1957,2.129,1,2014,1
41.898163,12.489132,20,1901,2.137,0,,0
41.901839,12.473585,20,1901,2.1444,0,,0
41.888892,12.47705,20,1954,2.144444,0,,0
41.894875,12.49045,20,1901,2.15,0,,0
